Country,Total_Plastic_Waste_MT,Main_Sources,Recycling_Rate,Per_Capita_Waste_KG,Plastic_Waste_Level,Population_Millions,GDP_Billion_USD,Urbanization_Rate,Plastic_Export_MT,Plastic_Import_MT,Government_Policy_Score,Awareness_Index,Industrialization_Level,Waste_to_Recycle_Ratio,High_Risk_Flag,Developed_Country_Flag
Canada,33.27,Packaging_Consumer,81.68,137.82,Low,983.29,11437.09,85.24,1.12,6.81,3,0.28,0.65,8.01,0,1
UK,20.22,Consumer_Goods,65.87,17.68,Low,39.03,7581.0,47.89,13.2,2.94,2,0.74,0.88,0.91,0,1
South Africa,3.76,Consumer_Goods,25.68,118.23,Low,1377.97,11590.03,85.13,2.49,13.29,5,0.17,0.98,12.42,0,0
Australia,23.39,Industrial_Packaging,44.03,61.81,Medium,482.59,11319.73,94.06,13.88,0.92,5,0.91,0.36,7.75,0,1
UK,46.54,Industrial_Packaging,39.24,89.68,Low,719.74,15385.8,91.3,0.91,19.21,1,0.45,0.09,3.64,0,1
Saudi Arabia,58.2,Consumer_Goods,34.68,99.56,Low,611.73,10718.04,79.8,2.21,9.89,6,0.64,0.07,13.37,0,0
Russia,17.07,Packaging_Consumer,50.34,34.16,Low,220.27,5859.75,70.88,9.88,3.3,9,0.59,0.74,9.54,0,0
Egypt,1.39,Consumer_Goods,8.89,30.18,High,17.93,9311.16,40.45,1.4,9.06,9,0.52,0.95,3.94,1,0
Brazil,46.1,Packaging_Consumer,28.48,117.66,High,643.75,539.86,27.8,4.34,12.18,2,0.84,0.82,0.9,1,0
Spain,57.02,Packaging_Consumer,64.56,39.26,Medium,1301.03,9074.52,76.0,3.94,10.03,9,0.33,0.18,1.43,0,1
Mexico,65.32,Consumer_Goods,27.37,131.7,Low,1271.18,18061.27,90.61,9.32,16.52,9,0.39,0.92,5.97,0,0
Egypt,49.86,Consumer_Goods,54.06,87.46,High,771.0,3629.04,46.11,9.55,10.77,5,0.36,0.98,5.21,1,0
Germany,41.7,Consumer_Goods,60.28,69.63,Medium,1284.95,10600.34,54.15,3.9,19.5,6,0.78,0.57,9.07,0,1
Saudi Arabia,64.07,Consumer_Goods,89.29,48.73,Medium,1045.46,19679.87,93.57,12.55,11.74,8,0.68,0.37,6.27,0,0
Canada,66.75,Automotive_Packaging,88.43,12.39,Medium,16.06,8441.38,50.61,12.37,16.93,8,0.23,0.26,0.5,0,1
China,3.55,Packaging_Electronics,79.82,131.61,Medium,396.79,19366.16,73.56,1.52,14.63,1,0.22,0.84,2.53,0,0
Brazil,58.19,Packaging_Consumer,82.25,23.2,Medium,212.47,11898.04,48.21,1.09,14.74,5,0.7,0.92,13.31,0,0
Japan,10.58,Packaging_Electronics,67.91,23.71,Low,387.56,8961.71,50.88,12.14,13.02,9,0.39,0.44,9.68,0,1
Egypt,26.84,Automotive_Packaging,46.63,114.61,Medium,160.95,17141.33,54.37,4.0,3.1,8,0.97,0.48,14.43,0,0
Saudi Arabia,67.56,Industrial_Packaging,32.6,137.51,High,109.44,7765.77,75.21,14.74,15.54,7,0.29,0.41,13.89,1,0
Indonesia,24.81,Consumer_Goods,45.48,40.07,Medium,396.78,18078.73,47.38,10.2,15.38,9,0.59,0.2,4.89,0,0
Saudi Arabia,64.03,Packaging_Consumer,34.63,119.92,Medium,1108.45,15704.88,97.77,1.55,6.42,9,0.19,0.12,3.07,0,0
UK,4.0,Packaging_Consumer,67.77,107.9,High,137.84,2320.5,34.87,11.96,16.68,5,0.64,0.91,7.16,1,1
Mexico,21.0,Consumer_Goods,15.64,10.67,Medium,869.7,15846.53,66.38,12.45,4.8,2,0.69,0.13,3.23,0,0
South Africa,28.91,Industrial_Packaging,33.52,109.25,High,854.45,4046.82,52.94,9.93,12.55,6,0.26,0.57,3.13,1,0
India,16.72,Consumer_Goods,83.49,91.93,Medium,1198.19,17083.52,52.66,6.9,4.51,3,0.5,0.77,14.34,0,0
Canada,38.29,Industrial_Packaging,39.76,39.41,High,1228.61,21995.35,50.03,6.21,18.08,2,0.38,0.48,1.31,1,1
South Korea,16.1,Packaging_Consumer,38.17,98.15,High,398.29,19429.9,70.04,9.76,3.55,2,0.08,0.01,1.58,1,1
Mexico,26.05,Packaging_Consumer,16.83,88.29,High,892.22,150.38,97.91,13.48,4.56,7,0.4,0.42,9.88,1,0
South Africa,44.83,Packaging_Consumer,24.94,140.76,High,1100.35,6519.0,27.28,7.46,15.72,9,0.91,0.16,14.39,1,0
Saudi Arabia,31.14,Consumer_Goods,32.87,130.24,High,1153.0,20755.26,74.39,0.74,11.51,8,0.02,0.82,3.19,1,0
Canada,32.4,Automotive_Packaging,76.34,44.15,Low,595.3,18539.36,66.15,3.25,6.83,5,0.75,0.18,1.34,0,1
Indonesia,33.01,Packaging_Electronics,25.61,55.66,Low,1013.07,8713.13,70.63,5.86,12.84,4,0.21,0.27,1.42,0,0
China,18.93,Consumer_Goods,10.56,35.33,Medium,1063.93,17312.29,44.3,1.96,19.03,9,0.03,0.25,0.53,0,0
Indonesia,33.01,Packaging_Electronics,25.61,55.66,Low,1013.07,8713.13,70.63,5.86,12.84,4,0.21,0.27,1.42,0,0
China,33.33,Industrial_Packaging,82.8,33.62,Low,1115.48,6276.53,27.13,2.15,14.1,4,0.05,0.06,12.22,0,0
Brazil,31.7,Packaging_Electronics,27.55,51.38,Medium,58.13,15107.27,27.08,1.01,15.41,8,0.2,0.66,8.47,0,0
China,58.57,Consumer_Goods,88.31,34.47,High,628.93,8270.24,42.13,11.75,2.67,7,0.93,0.82,5.36,1,0
Mexico,58.61,Packaging_Electronics,15.23,69.35,High,79.12,8720.17,73.83,8.46,2.01,7,0.86,0.18,2.16,1,0
United States,28.49,Packaging_Consumer,58.02,54.41,High,763.28,21414.11,29.49,10.41,4.54,1,0.71,0.66,14.19,1,1
Germany,61.52,Industrial_Packaging,28.06,85.3,High,922.64,6375.61,76.17,5.43,6.54,2,0.0,0.76,11.19,1,1
Brazil,8.28,Packaging_Consumer,42.49,59.24,Medium,146.03,7784.97,78.07,9.23,5.64,5,0.01,0.83,5.59,0,0
Spain,24.55,Consumer_Goods,27.85,76.58,High,1300.37,6123.61,63.38,5.69,12.28,9,0.59,0.73,6.0,1,1
China,41.45,Industrial_Packaging,18.03,79.47,Low,800.26,7788.84,22.47,0.21,15.79,6,0.45,0.41,10.01,0,0
Germany,6.6,Automotive_Packaging,73.46,94.51,High,635.19,2586.21,74.8,12.56,1.77,7,0.96,0.58,10.07,1,1
Germany,50.48,Packaging_Consumer,9.22,88.69,Low,1109.57,3539.42,43.5,13.1,11.93,2,0.48,0.92,3.68,0,1
UK,34.62,Automotive_Packaging,5.12,48.26,Medium,1316.65,10832.07,76.86,5.86,5.09,7,0.46,0.92,5.56,0,1
Turkey,28.93,Packaging_Electronics,41.42,143.71,Low,1150.22,18885.43,98.48,5.73,16.5,4,0.8,0.51,10.3,0,0
France,51.36,Packaging_Consumer,50.02,137.14,High,941.03,7116.91,31.93,14.26,8.16,5,0.87,0.62,9.55,1,1
Australia,10.9,Packaging_Consumer,79.89,116.35,Medium,1256.52,20014.86,37.25,4.99,0.41,1,0.95,0.93,8.4,0,1
China,30.33,Industrial_Packaging,35.8,101.83,Low,223.22,1286.28,52.15,7.77,2.86,6,0.35,0.37,10.27,0,0
Russia,42.4,Packaging_Electronics,76.78,12.35,Low,100.95,11954.36,82.4,1.66,4.52,2,0.17,0.14,12.84,0,0
South Korea,27.09,Packaging_Consumer,78.0,46.4,Medium,6.49,6591.65,36.34,5.43,19.38,3,0.11,0.01,1.7,0,1
South Africa,64.12,Packaging_Consumer,6.14,39.02,High,262.41,6124.53,39.71,6.03,13.53,4,0.31,0.78,8.7,1,0
Russia,53.0,Packaging_Electronics,37.81,87.47,Medium,609.77,20546.48,63.04,7.34,5.07,4,0.54,0.65,8.54,0,0
UK,27.18,Automotive_Packaging,7.22,42.29,Medium,417.41,21869.17,45.57,4.22,12.69,2,0.94,0.75,7.94,0,1
Japan,51.12,Consumer_Goods,15.6,50.07,Medium,475.48,12364.61,64.93,10.12,7.17,9,0.8,1.0,3.18,0,1
Australia,31.81,Packaging_Electronics,18.83,130.31,High,106.77,14546.46,20.01,9.59,16.56,6,0.77,0.92,8.64,1,1
Egypt,43.12,Packaging_Consumer,59.44,129.39,High,755.41,608.67,23.47,12.65,18.36,1,0.01,0.99,3.44,1,0
Australia,43.4,Consumer_Goods,65.04,136.55,Low,23.12,7771.37,22.38,0.58,7.26,4,0.1,0.1,10.09,0,1
Spain,29.15,Consumer_Goods,12.48,71.53,Low,824.02,10204.12,94.14,12.49,7.24,2,0.09,0.86,8.67,0,1
Saudi Arabia,64.07,Consumer_Goods,89.29,48.73,Medium,1045.46,19679.87,93.57,12.55,11.74,8,0.68,0.37,6.27,0,0
Mexico,60.1,Industrial_Packaging,53.92,112.29,High,768.56,8093.22,83.54,2.78,19.75,8,0.93,0.98,5.26,1,0
Turkey,23.7,Packaging_Electronics,49.44,30.88,Low,449.06,17163.56,84.53,4.63,14.47,5,0.45,0.49,0.95,0,0
Germany,40.09,Packaging_Electronics,79.87,61.35,Low,1199.34,17849.73,69.77,1.16,18.59,9,0.64,0.52,0.42,0,1
Germany,40.56,Packaging_Electronics,65.42,34.92,Low,1105.09,188.81,33.63,5.78,1.97,7,0.65,0.79,1.15,0,1
Turkey,59.24,Automotive_Packaging,58.28,114.92,High,441.08,11853.34,76.55,0.53,17.69,8,0.78,0.95,1.03,1,0
Turkey,2.05,Consumer_Goods,22.95,53.69,Low,182.59,10600.57,90.74,12.37,4.92,7,0.95,0.58,4.84,0,0
Saudi Arabia,49.27,Automotive_Packaging,34.85,131.23,Medium,109.69,7323.07,46.92,14.99,2.69,3,0.77,0.32,2.69,0,0
Germany,65.02,Consumer_Goods,42.83,79.7,Medium,1125.33,801.18,85.23,13.12,17.91,5,0.8,0.5,10.76,0,1
Germany,8.07,Packaging_Consumer,31.99,125.47,High,1230.01,3433.77,82.3,6.05,4.17,4,0.1,0.33,6.72,1,1
Indonesia,27.58,Consumer_Goods,25.86,17.79,Medium,1267.58,7438.18,40.67,0.74,4.59,9,0.64,0.37,8.15,0,0
South Africa,12.28,Industrial_Packaging,34.35,64.99,Low,930.99,20467.36,92.31,5.84,5.79,9,0.92,0.01,1.69,0,0
South Korea,17.61,Automotive_Packaging,51.36,116.56,Low,777.38,3839.93,88.1,10.54,16.42,7,0.08,0.99,13.99,0,1
South Korea,55.62,Automotive_Packaging,10.73,105.33,High,181.84,1935.19,94.49,8.39,17.92,7,0.71,0.92,4.0,1,1
Russia,26.91,Automotive_Packaging,30.84,20.4,Low,380.38,19571.81,76.32,8.8,16.07,9,0.33,0.98,13.82,0,0
Saudi Arabia,48.37,Packaging_Electronics,30.5,49.96,High,411.4,9890.44,56.74,7.12,8.55,8,0.69,0.86,2.02,1,0
Saudi Arabia,46.98,Consumer_Goods,23.32,67.54,Low,112.43,17910.6,95.61,12.97,3.88,6,0.53,0.55,11.33,0,0
South Africa,54.27,Consumer_Goods,70.56,119.29,Low,1374.35,14271.5,96.31,11.58,2.79,1,0.27,0.54,6.77,0,0
Turkey,58.57,Industrial_Packaging,80.86,139.86,Low,51.98,18283.88,43.67,1.53,3.07,3,0.47,0.71,5.38,0,0
Brazil,11.33,Packaging_Electronics,34.98,23.79,Low,399.59,18859.65,57.65,3.46,10.32,8,0.42,0.56,13.87,0,0
India,55.24,Consumer_Goods,51.81,139.97,Medium,1268.72,11312.7,96.67,11.48,3.71,2,0.08,0.87,12.24,0,0
India,29.08,Industrial_Packaging,23.58,75.31,Medium,949.15,10796.17,43.06,9.55,19.88,7,0.42,0.21,9.77,0,0
Turkey,28.58,Industrial_Packaging,72.07,130.07,Low,886.46,59.43,62.26,11.8,0.32,8,0.82,0.27,7.58,0,0
India,33.7,Packaging_Consumer,89.68,19.65,Low,288.59,12812.43,70.02,9.37,3.77,5,0.96,0.67,2.04,0,0
Japan,50.52,Industrial_Packaging,15.33,142.29,High,30.28,10867.55,75.59,14.52,1.49,9,0.81,0.8,4.14,1,1
Brazil,6.02,Packaging_Consumer,6.03,72.7,High,614.74,7363.18,73.92,3.31,9.97,5,0.23,0.75,2.37,1,0
China,68.53,Industrial_Packaging,72.04,39.62,Low,1143.23,846.92,30.15,1.94,12.01,9,0.72,0.47,4.73,0,0
Turkey,53.86,Automotive_Packaging,86.27,91.92,Medium,81.2,11205.39,33.89,7.86,5.48,1,0.54,0.52,10.24,0,0
Spain,14.64,Packaging_Electronics,47.57,31.73,Medium,1279.87,13223.04,21.78,8.83,14.39,8,0.02,0.76,3.18,0,1
India,53.46,Packaging_Consumer,75.55,82.55,High,1113.58,4024.27,57.55,3.63,6.3,6,0.05,0.85,10.73,1,0
Australia,27.79,Consumer_Goods,36.26,39.41,Low,1113.66,428.94,68.52,11.2,19.38,8,0.3,0.67,10.13,0,1
Canada,53.98,Automotive_Packaging,88.07,60.46,Medium,924.44,19202.71,56.05,9.9,9.85,9,0.21,0.11,10.63,0,1
Spain,68.09,Consumer_Goods,49.14,30.23,High,571.92,12627.84,70.13,3.01,1.85,4,0.4,0.07,3.82,1,1
UK,46.37,Packaging_Consumer,64.57,74.33,Medium,1373.2,682.37,30.0,14.07,11.89,6,0.4,0.28,8.09,0,1
South Africa,59.69,Industrial_Packaging,26.88,99.82,Medium,1261.59,1354.47,38.57,13.21,7.56,5,0.6,0.35,1.12,0,0
France,2.3,Industrial_Packaging,38.85,112.27,Low,222.61,7293.47,75.27,9.88,15.8,5,0.25,0.98,7.22,0,1
UK,68.29,Consumer_Goods,33.14,59.04,Medium,450.31,4296.87,52.52,14.71,0.25,9,0.8,0.53,5.78,0,1
Mexico,19.69,Industrial_Packaging,59.94,20.3,High,933.54,6296.57,27.64,10.55,10.97,9,0.57,0.88,12.15,1,0
France,58.88,Automotive_Packaging,27.83,115.92,Low,951.29,20661.26,44.86,13.81,10.68,8,0.08,0.04,10.97,0,1
Japan,59.64,Automotive_Packaging,32.1,129.09,Low,142.72,13495.74,34.8,3.42,2.74,7,0.22,0.04,14.33,0,1
Canada,17.44,Packaging_Electronics,66.98,26.31,Medium,1181.94,412.24,87.53,2.88,19.23,4,0.5,0.68,12.65,0,1
South Africa,54.36,Packaging_Electronics,33.08,138.72,Medium,1339.36,12051.61,39.77,2.5,11.48,5,0.04,0.49,0.39,0,0
Australia,31.42,Industrial_Packaging,14.9,55.77,High,609.2,17648.89,67.6,1.76,18.43,1,0.02,0.18,14.36,1,1
Saudi Arabia,36.46,Automotive_Packaging,67.59,64.93,Medium,335.89,21955.93,49.96,8.02,16.85,3,0.65,0.96,11.97,0,0
Japan,31.18,Industrial_Packaging,82.49,86.26,High,187.66,6340.28,88.47,4.42,11.46,7,0.3,0.65,2.39,1,1
UK,39.69,Industrial_Packaging,39.84,38.88,High,1135.84,19602.05,35.66,5.79,9.73,3,0.01,0.18,11.06,1,1
Brazil,56.92,Consumer_Goods,13.15,42.84,Low,298.82,4731.78,64.52,6.13,9.9,1,0.29,0.94,4.99,0,0
Brazil,37.56,Automotive_Packaging,22.14,124.98,Medium,260.43,21216.55,85.45,3.77,3.59,1,0.36,0.5,4.71,0,0
France,60.49,Industrial_Packaging,84.08,75.83,Low,1151.74,17300.64,32.98,0.83,7.78,4,0.95,0.53,5.71,0,1
India,40.87,Packaging_Electronics,58.42,71.61,High,61.16,16402.24,47.9,2.23,0.95,8,0.45,0.84,5.39,1,0
Mexico,55.6,Automotive_Packaging,53.15,98.13,High,127.98,4859.03,36.29,10.35,13.06,6,0.32,0.52,10.17,1,0
Brazil,42.89,Automotive_Packaging,74.0,81.51,Low,65.59,6539.68,52.88,13.17,14.4,6,0.21,0.6,14.11,0,0
UK,52.25,Consumer_Goods,11.04,96.43,Medium,886.18,2318.24,23.64,0.54,14.48,7,0.98,0.4,9.27,0,1
Brazil,59.91,Packaging_Consumer,88.49,88.79,High,147.54,704.34,97.68,4.46,7.85,5,0.4,0.78,6.57,1,0
Russia,22.91,Packaging_Electronics,51.74,26.47,Low,524.42,15346.02,84.11,5.65,1.4,2,0.96,0.39,13.24,0,0
France,57.35,Packaging_Consumer,47.33,46.3,Medium,44.38,664.35,93.52,13.96,5.57,8,0.96,0.47,10.66,0,1
Saudi Arabia,4.2,Automotive_Packaging,74.05,134.6,High,1221.87,12528.98,33.09,12.57,6.94,6,0.17,0.46,6.09,1,0
South Korea,10.85,Industrial_Packaging,82.3,49.99,High,838.85,21882.49,26.8,1.05,8.39,9,0.08,0.31,9.62,1,1
Italy,55.82,Automotive_Packaging,61.63,128.88,High,516.76,17844.54,22.59,5.92,19.78,4,0.88,0.03,5.05,1,1
Germany,64.12,Industrial_Packaging,46.12,19.94,High,313.24,18506.99,20.08,8.98,7.03,5,0.62,0.17,6.65,1,1
Brazil,31.33,Packaging_Electronics,64.92,82.97,Low,338.52,18006.55,86.93,8.06,7.49,8,0.58,0.73,0.54,0,0
Indonesia,33.68,Consumer_Goods,57.02,12.5,Medium,1339.85,1224.44,66.33,7.54,11.7,4,0.01,0.06,8.18,0,0
Germany,16.43,Consumer_Goods,46.05,117.35,Medium,458.35,20367.03,42.92,3.63,6.0,3,0.92,0.19,6.32,0,1
UK,45.62,Packaging_Consumer,78.3,131.41,High,741.48,5422.39,86.57,8.34,10.39,8,0.55,0.65,0.15,1,1
South Africa,19.56,Packaging_Consumer,12.18,129.88,High,876.62,14608.58,35.66,6.23,8.37,6,0.62,0.81,9.37,1,0
Indonesia,64.66,Industrial_Packaging,42.97,16.58,High,330.25,18614.28,94.55,8.8,14.06,5,0.93,0.35,12.45,1,0
United States,67.29,Consumer_Goods,88.91,21.42,High,1336.11,16597.25,81.91,14.25,2.22,4,0.09,0.54,5.85,1,1
Russia,34.25,Automotive_Packaging,55.45,28.23,Low,14.91,7652.8,86.16,6.67,2.28,2,0.83,0.19,6.53,0,0
Canada,29.98,Packaging_Electronics,10.44,93.67,High,1396.33,9255.59,48.83,2.95,3.64,6,0.93,0.47,14.99,1,1
France,67.53,Automotive_Packaging,71.0,102.21,Medium,1369.42,18580.32,94.47,12.87,7.4,8,0.19,0.4,6.5,0,1
China,4.04,Consumer_Goods,71.98,29.75,High,1307.43,20462.0,73.72,4.62,4.71,4,0.0,0.0,4.41,1,0
Italy,31.22,Industrial_Packaging,29.92,33.66,Low,1085.13,6926.1,86.17,6.38,2.52,3,0.19,0.38,10.0,0,1
Italy,61.34,Industrial_Packaging,39.36,119.45,Low,112.5,13858.33,61.72,1.32,5.32,7,0.73,0.76,7.16,0,1
UK,29.35,Industrial_Packaging,87.43,98.26,Low,753.97,8236.3,93.3,11.07,17.98,4,0.91,0.62,9.1,0,1
South Korea,51.32,Packaging_Electronics,39.3,102.3,Low,613.67,9633.91,46.0,1.03,16.77,1,0.49,0.22,0.5,0,1
Russia,39.1,Industrial_Packaging,83.44,63.95,High,465.08,11609.43,88.08,5.34,6.17,8,0.04,0.94,0.23,1,0
Germany,7.45,Packaging_Electronics,36.24,72.18,High,863.59,994.58,35.8,5.34,8.6,4,0.34,0.55,7.43,1,1
Turkey,55.43,Consumer_Goods,39.19,50.76,Medium,94.18,14716.33,82.84,4.38,18.27,3,0.33,0.2,9.31,0,0
France,17.11,Consumer_Goods,46.41,68.72,High,1074.5,9624.42,44.36,4.61,5.02,6,0.56,0.85,10.83,1,1
China,14.86,Consumer_Goods,6.39,73.32,High,444.84,1535.31,45.89,1.66,7.59,9,0.68,0.11,1.35,1,0
Japan,7.28,Automotive_Packaging,33.1,144.94,High,537.23,15174.36,25.9,5.95,19.52,1,0.63,0.21,6.09,1,1
Italy,33.66,Packaging_Consumer,61.14,23.08,Medium,545.19,3633.3,92.09,9.49,11.13,3,0.7,0.95,5.78,0,1
Japan,3.34,Consumer_Goods,62.87,63.08,Medium,344.83,15498.01,54.83,13.51,2.7,3,0.73,0.92,10.47,0,1
South Africa,62.98,Industrial_Packaging,60.68,138.61,Medium,35.13,791.18,91.31,0.68,12.26,3,0.49,0.46,8.97,0,0
Mexico,1.23,Industrial_Packaging,70.97,149.44,High,1159.05,2104.47,23.13,7.19,18.22,5,0.88,0.88,5.12,1,0
France,56.41,Packaging_Electronics,24.55,30.45,Medium,1313.13,16833.31,37.13,7.61,4.88,1,0.91,0.45,1.84,0,1
Egypt,4.27,Packaging_Electronics,12.09,51.74,Low,423.55,8434.52,38.97,13.96,19.12,3,0.14,0.03,8.98,0,0
Japan,24.64,Packaging_Electronics,16.94,74.86,Low,869.82,15590.7,36.7,9.58,12.99,1,0.45,0.02,12.31,0,1
China,58.4,Packaging_Consumer,88.09,68.53,Low,1337.89,1756.14,95.61,13.64,1.9,1,0.2,0.34,1.02,0,0
Brazil,19.69,Packaging_Electronics,61.44,33.41,High,873.86,3397.36,86.24,4.16,13.49,2,0.21,0.98,0.43,1,0
Japan,14.92,Packaging_Consumer,8.31,137.89,Low,153.35,3091.19,55.72,8.56,0.71,6,0.64,0.41,14.61,0,1
Egypt,14.81,Packaging_Electronics,13.3,126.19,Low,915.35,10187.1,63.01,6.54,1.59,7,0.04,0.38,5.38,0,0
South Africa,61.27,Packaging_Electronics,73.1,12.7,Medium,113.68,9056.36,82.74,13.95,14.19,6,0.08,0.74,1.89,0,0
Mexico,12.38,Consumer_Goods,27.84,20.93,High,1030.22,6147.48,35.45,10.78,12.53,3,0.7,0.06,4.49,1,0
South Africa,12.28,Industrial_Packaging,34.35,64.99,Low,930.99,20467.36,92.31,5.84,5.79,9,0.92,0.01,1.69,0,0
South Africa,44.96,Automotive_Packaging,57.68,82.4,Low,79.2,8980.48,69.86,2.23,6.41,2,0.6,0.77,0.64,0,0
South Korea,42.94,Consumer_Goods,16.46,127.62,High,663.99,86.43,56.9,0.31,2.27,8,0.2,0.98,8.94,1,1
Indonesia,41.43,Consumer_Goods,5.35,68.75,Low,686.13,5876.36,50.29,8.33,2.22,1,0.16,0.92,12.64,0,0
Brazil,23.53,Consumer_Goods,77.59,136.74,High,369.13,11330.47,93.22,1.14,9.99,2,0.97,0.37,7.72,1,0
Egypt,56.34,Industrial_Packaging,52.76,113.42,Medium,97.71,16243.2,32.54,5.03,6.68,2,0.1,0.45,3.06,0,0
Turkey,59.24,Automotive_Packaging,58.28,114.92,High,441.08,11853.34,76.55,0.53,17.69,8,0.78,0.95,1.03,1,0
South Africa,59.69,Industrial_Packaging,26.88,99.82,Medium,1261.59,1354.47,38.57,13.21,7.56,5,0.6,0.35,1.12,0,0
Brazil,4.35,Automotive_Packaging,71.6,43.26,High,767.26,15373.28,66.07,3.31,15.26,1,0.7,0.48,12.03,1,0
China,5.17,Consumer_Goods,9.99,60.63,High,1209.68,506.24,40.5,2.34,19.71,7,0.12,0.95,6.56,1,0
Indonesia,66.22,Packaging_Consumer,72.25,14.34,Low,644.02,6804.14,94.27,3.99,0.25,9,0.8,0.26,13.45,0,0
Canada,42.11,Automotive_Packaging,81.48,141.24,High,784.4,9573.83,31.47,5.32,16.46,8,0.6,0.01,4.54,1,1
Japan,24.64,Packaging_Electronics,16.94,74.86,Low,869.82,15590.7,36.7,9.58,12.99,1,0.45,0.02,12.31,0,1
UK,3.19,Packaging_Electronics,77.22,125.01,High,197.6,1251.51,99.2,8.09,10.17,7,0.4,0.34,5.78,1,1
UK,11.73,Automotive_Packaging,16.08,108.4,High,532.54,9905.83,29.84,6.77,15.25,9,0.5,0.14,13.78,1,1
Canada,10.77,Industrial_Packaging,88.69,128.4,Low,25.7,10727.65,62.73,7.8,7.28,3,0.17,0.39,11.6,0,1
Germany,11.76,Industrial_Packaging,79.77,106.66,Medium,1382.03,10632.76,74.28,12.1,2.74,6,0.75,0.65,4.72,0,1
China,57.33,Packaging_Electronics,46.24,110.63,Medium,82.06,18320.69,67.67,2.7,11.47,7,0.48,0.51,3.72,0,0
South Africa,57.23,Industrial_Packaging,54.37,132.01,Medium,128.82,13896.07,97.7,8.43,12.73,8,0.81,0.9,3.37,0,0
Egypt,38.92,Automotive_Packaging,80.21,31.66,Low,267.65,6201.62,60.35,12.7,7.86,8,0.53,1.0,12.17,0,0
India,23.15,Packaging_Consumer,65.58,115.4,Medium,278.27,13745.74,76.98,4.56,19.26,2,0.82,0.17,4.81,0,0
Russia,61.38,Packaging_Electronics,67.09,146.5,Medium,1216.47,4667.84,96.03,5.4,13.92,9,0.88,0.68,2.22,0,0
China,54.17,Industrial_Packaging,21.56,125.89,Medium,429.8,3378.57,21.89,9.63,16.07,4,0.96,0.02,13.71,0,0
France,17.42,Automotive_Packaging,9.67,81.3,High,542.7,11773.06,49.28,12.1,8.32,5,0.4,0.58,0.22,1,1
Spain,39.95,Automotive_Packaging,29.89,143.92,High,54.61,17748.07,53.41,10.2,3.92,7,0.77,0.73,5.11,1,1
Brazil,64.42,Packaging_Consumer,79.14,102.97,High,1017.14,1845.54,60.1,13.27,16.61,7,0.16,0.89,9.86,1,0
Russia,8.92,Industrial_Packaging,58.05,124.16,Low,773.67,21944.43,28.07,10.29,17.08,2,0.02,0.4,1.12,0,0
Italy,48.92,Consumer_Goods,10.94,125.88,Low,934.36,16791.83,55.34,2.27,4.93,8,0.48,0.29,12.19,0,1
Australia,6.73,Industrial_Packaging,30.01,95.87,Medium,766.85,16065.38,66.67,7.49,14.37,3,0.36,0.36,3.84,0,1
